filename;station;sensor_sn;date;hour;lat;long;local_depth;depth;press;temp;sal;calc_sal;cons_temp;dens;sigma_t;N2;press_N2;chl;turb;fico;cdom;par;secchi
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;9.0;10.3048979;17.853689;;;17.84260350236918;1025.4890760992812;25.44421483099381;3.952515369486999e-07;10.5524355;0.39454700744;;0.7290586;0.7303514;312.84287972999994;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;9.5;10.7999731;17.853689;;;17.84251924786292;1025.4912515174385;25.444235236819623;0.0108948580600367;11.0616202;0.45225736116;;0.7294282;0.7303514;312.84287972999994;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;10.0;11.3232673;16.758798249999998;;;16.73514859925169;1026.088496027789;26.0390228636179;0.000505721813112;11.56894345;0.46896045838;;0.7292430999999999;0.7303514;242.90926884;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;10.5;11.8146196;16.6641647;;;16.640316342070335;1026.116574642538;26.064935906144;0.0002710977014774;12.06504655;0.46896045838;;0.7291079;0.7303514;217.00549248;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;11.0;12.3154735;16.6122125;;;16.58822039674612;1026.1329334556713;26.07909496815;0.0005865927058953;12.6132434;0.57828119262;;0.7291780999999999;0.7303514;184.109577615;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;11.5;12.9110133;16.562598;;;16.53764245839086;1026.1719931394566;26.11554314409159;-0.0004838792264958;13.17173235;0.57828119262;;0.7291780999999999;0.7303514;184.109577615;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;12.0;13.4324514;16.5450971;;;16.521132254758136;1026.1479418845086;26.08920471233091;0.0012647518557116;13.60443765;0.65940143068;;0.7292197;0.7303514;147.78936242;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;12.5;13.7764239;16.5171734;;;16.49179113801333;1026.1948457207122;26.13460257340489;-6.497675175656074e-05;14.050210125;0.635448603;;0.7288387;0.7303514;147.78936242;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;13.0;14.32399635;16.3977989;;;16.373458969055296;1026.193527453608;26.13085631777949;0.0008845485679407;14.601989125;0.53530980726;;0.7284088;0.7303514;102.4763241;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;13.5;14.8799819;16.3778003;;;16.35174599910106;1026.2472825007117;26.182179975548024;0.0002316139400869;15.10736825;0.4720583406799999;;0.7282597;0.7303514;102.4763241;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;14.0;15.3347546;16.385011900000002;;;16.35844056887784;1026.2602640233688;26.193175734673787;-0.0009415056064011;15.653989;0.6268894533;;0.7279326;0.7303514;70.36612785;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;14.5;15.9732234;16.4211631;;;16.396379965636463;1026.2003248468452;26.13044636626228;-8.148861545276471e-06;16.185588;0.5388707874399999;;0.7286226;0.7303514;68.9664081;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;15.0;16.3979526;16.4211631;;;16.39632481082233;1026.2018213927736;26.130085104761747;0.0005669341268499;16.6554887;0.4729206948;;0.7284831;0.7303514;57.563728350000005;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;15.5;16.913024800000002;16.386956400000003;;;16.361256665208536;1026.2345481346222;26.160552113677795;-0.0003184293992915;17.159207600000002;0.5298485398599999;;0.72842885;0.7303514;52.24173684;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;16.0;17.4053904;16.3875732;;;16.362361391859096;1026.2203402748817;26.14418823726305;-0.0002548383805466;17.64346635;0.5298485398599999;;0.72842885;0.7303514;41.87436345;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;16.5;17.8815423;16.3727643;;;16.348042247377872;1026.2097602415863;26.131518183604385;0.0003546673979697;18.11423395;0.54174510824;;0.7282369;0.7303515;33.39671592;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;17.0;18.3469256;16.3340326;;;16.308957933271163;1026.229021208932;26.148732048364764;0.0004689540787507;18.5487847;0.4865578016;;0.7281037;0.7303515;32.83780053;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;17.5;18.7506438;16.3113509;;;16.285712832512644;1026.2505452125831;26.16848454471869;0.0001233113287914;19.081572;0.4854719727999999;;0.7283445;0.7303515;32.83780053;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;18.0;19.4125002;16.3113509;;;16.28531120007199;1026.2619582225811;26.17700301849004;-0.0001466001314619;19.66850105;0.59463301612;;0.7288966;0.7303515;22.39109811;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;18.5;19.9245019;16.3008437;;;16.275082865831614;1026.2563654297123;26.169164548940444;8.447882516876737e-05;20.17715345;0.55828854348;;0.7288966;0.7303515;22.39109811;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;19.0;20.429805;16.29705155;;;16.271087089668065;1026.2630311902935;26.17361856109073;8.180808717577155e-05;20.6885676;0.51520539184;;0.7282662;0.7303515;13.593355859999996;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;19.5;20.9473302;16.2946748;;;16.268494285129663;1026.2697139247266;26.178036629806456;6.821956512975448e-05;21.1982431;0.47509241028;;0.7283005;0.7303515;10.178271219999996;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;20.0;21.449156;16.2983781;;;16.271962642794257;1026.2754822630498;26.181611412324173;3.459863306042001e-07;21.65045175;0.48524838236;;0.7285293;0.7303515;10.178271219999996;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;20.5;21.8517475;16.2983781;;;16.27189816870189;1026.2772582856574;26.18162592377461;-0.000307392110528;22.01043555;0.48524838236;;0.7284709;0.7303515;6.039453899999998;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;21.0;22.1691236;16.3042377;;;16.278012572301225;1026.2684658861854;26.171445460473706;2.888392645592493e-05;22.5268978;0.43715108632;;0.7282538;0.7303515;4.012117874999994;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;21.5;22.884672;16.3022693;;;16.2758718604146;1026.2737534518749;26.17360181096228;2.318834537155238e-05;23.07858995;0.5190059083999999;;0.72829705;0.7303515;2.4072679800000003;11.0
RBR_maestro_sn80228_20250402_165837.csv;p9;RBR_maestro_sn80228_20250;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;22.0;23.2725079;16.298302;;;16.271843459309068;1026.2763888524817;26.174538692194343;0.0001458124685343;23.48515125;0.5190059083999999;;0.72829705;0.7303515;-0.2703299100000009;11.0
