Wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21
541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,0,0,0,0,0,0.003930958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0.068654744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,0,0,0,0,0,0.419662119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,0,0,0,0,0,0.862198057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,0,0,0,0,0,0.988385097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,0,0,0,0,0,0.992073849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,0,0,0,0,0,0.99364283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0.998148007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,0,0,0,0,0,0.997395612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,0,0,0,0,0,0.996963082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,0,0,0,0,0,0.996970312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,0,0,0,0,0,0.927457257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,0,0,0,0,0,0.558462509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,0,0,0,0,0,0.126120341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,0,0,0,0,0,0.007870908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
