filename;station;sensor_sn;date;hour;lat;long;local_depth;depth;press;temp;sal;calc_sal;cons_temp;dens;sigma_t;N2;press_N2;chl;turb;fico;cdom;par;secchi
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;15.0;15.096570055467561;16.65;;;;;;;;540.64;;205.84;72.0;;11.0
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;15.5;15.599808117219048;16.61;;;;;;;;566.4;;192.04;72.0;;11.0
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;16.0;16.103047408534113;16.59;;;;;;;;509.34000000000003;;191.7;70.2;;11.0
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;16.5;16.606287929402672;16.57;;;;;;;;431.96;;191.7;72.04;;11.0
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;17.0;17.109529679814646;16.56;;;;;;;;472.0;;219.24;72.84;;11.0
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;17.5;17.61277265975995;16.55;;;;;;;;470.2;;182.4;70.72;;11.0
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;18.0;18.1160168692285;16.52;;;;;;;;422.22;;183.28;71.84;;11.0
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;18.5;18.619262308210203;16.51;;;;;;;;535.16;;197.28;71.88;;11.0
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;19.0;19.12250897669499;16.49;;;;;;;;558.32;;174.64;71.88;;11.0
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;19.5;19.625756874672767;16.47;;;;;;;;493.41999999999996;;185.4;73.30000000000001;;11.0
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;20.0;20.129006002133444;16.47;;;;;;;;437.4;;178.76;72.24;;11.0
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;20.5;20.632256359066954;16.45;;;;;;;;428.48;;179.76;73.68;;11.0
C3_sn2300380_20250402_165837.csv;p9;C3_sn2300380_20250402_165;2025-04-02;16:50:00;-24.0956;-45.69358;32.5;21.0;21.135507945463193;16.45;;;;;;;;446.6;;194.6;72.32;;11.0
